Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
01/01/2018,2018-01-01,יום שני,2018,1,ינואר,1,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_1_1_18.mp3,,יום שני | 01/01/2018
02/01/2018,2018-01-02,יום שלישי,2018,1,ינואר,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_2_1_18.mp3,,יום שלישי | 02/01/2018
03/01/2018,2018-01-03,יום רביעי,2018,1,ינואר,3,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_3_1_18.mp3,,יום רביעי | 03/01/2018
04/01/2018,2018-01-04,יום חמישי,2018,1,ינואר,4,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_4_1_18.mp3,,יום חמישי | 04/01/2018
07/01/2018,2018-01-07,יום ראשון,2018,1,ינואר,7,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_7_1_18.mp3,,יום ראשון | 07/01/2018
08/01/2018,2018-01-08,יום שני,2018,1,ינואר,8,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_8_1_18.mp3,,יום שני | 08/01/2018
09/01/2018,2018-01-09,יום שלישי,2018,1,ינואר,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_9_1_18.mp3,,יום שלישי | 09/01/2018
10/01/2018,2018-01-10,יום רביעי,2018,1,ינואר,10,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_10_1_18.mp3,,יום רביעי | 10/01/2018
11/01/2018,2018-01-11,יום חמישי,2018,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_11_1_18.mp3,,יום חמישי | 11/01/2018
14/01/2018,2018-01-14,יום ראשון,2018,1,ינואר,14,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_14_1_18.mp3,,יום ראשון | 14/01/2018
15/01/2018,2018-01-15,יום שני,2018,1,ינואר,15,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_15_1_18.mp3,,יום שני | 15/01/2018
16/01/2018,2018-01-16,יום שלישי,2018,1,ינואר,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_16_1_18.mp3,,יום שלישי | 16/01/2018
17/01/2018,2018-01-17,יום רביעי,2018,1,ינואר,17,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_17_1_18.mp3,,יום רביעי | 17/01/2018
18/01/2018,2018-01-18,יום חמישי,2018,1,ינואר,18,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_18_1_18.mp3,,יום חמישי | 18/01/2018
