Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
02/01/2011,2011-01-02,יום ראשון,2011,1,ינואר,2,https://a99.mediacast.co.il/99fm/mediafiles/full_02_01_11.mp3,,יום ראשון | 02/01/2011
03/01/2011,2011-01-03,יום שני,2011,1,ינואר,3,https://a99.mediacast.co.il/99fm/mediafiles/full_03_01_11.mp3,,יום שני | 03/01/2011
04/01/2011,2011-01-04,יום שלישי,2011,1,ינואר,4,https://a99.mediacast.co.il/99fm/mediafiles/full_04_01_11.mp3,,יום שלישי | 04/01/2011
05/01/2011,2011-01-05,יום רביעי,2011,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/full_05_01_11.mp3,,יום רביעי | 05/01/2011
06/01/2011,2011-01-06,יום חמישי,2011,1,ינואר,6,https://a99.mediacast.co.il/99fm/mediafiles/full_06_01_11.mp3,,יום חמישי | 06/01/2011
09/01/2011,2011-01-09,יום ראשון,2011,1,ינואר,9,https://a99.mediacast.co.il/99fm/mediafiles/full_09_01_11.mp3,,יום ראשון | 09/01/2011
10/01/2011,2011-01-10,יום שני,2011,1,ינואר,10,https://a99.mediacast.co.il/99fm/mediafiles/full_10_01_11.mp3,,יום שני | 10/01/2011
11/01/2011,2011-01-11,יום שלישי,2011,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/full_11_01_11.mp3,,יום שלישי | 11/01/2011
12/01/2011,2011-01-12,יום רביעי,2011,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/full_12_01_11.mp3,,יום רביעי | 12/01/2011
13/01/2011,2011-01-13,יום חמישי,2011,1,ינואר,13,https://a99.mediacast.co.il/99fm/mediafiles/full_13_01_11.mp3,,יום חמישי | 13/01/2011
16/01/2011,2011-01-16,יום ראשון,2011,1,ינואר,16,https://a99.mediacast.co.il/99fm/mediafiles/full_16_01_11.mp3,,יום ראשון | 16/01/2011
17/01/2011,2011-01-17,יום שני,2011,1,ינואר,17,https://a99.mediacast.co.il/99fm/mediafiles/full_17_01_11.mp3,,יום שני | 17/01/2011
18/01/2011,2011-01-18,יום שלישי,2011,1,ינואר,18,https://a99.mediacast.co.il/99fm/mediafiles/full_18_01_11.mp3,,יום שלישי | 18/01/2011
19/01/2011,2011-01-19,יום רביעי,2011,1,ינואר,19,https://a99.mediacast.co.il/99fm/mediafiles/full_19_01_11.mp3,,יום רביעי | 19/01/2011
20/01/2011,2011-01-20,יום חמישי,2011,1,ינואר,20,https://a99.mediacast.co.il/99fm/mediafiles/full_20_01_11.mp3,,יום חמישי | 20/01/2011
23/01/2011,2011-01-23,יום ראשון,2011,1,ינואר,23,https://a99.mediacast.co.il/99fm/mediafiles/full_23_01_11.mp3,,יום ראשון | 23/01/2011
